WKT,WKT,City,Category,Initiative,Location,Building,URL_1,Info,Describe
POINT (-12423308.0 3942310.8),POINT (-12423308.0 3942310.8),Mesa,Infrastructure,Green Building,3361 S. Signal Butte Road  Fire Station 219,Fire Station No. 219,http://www.azcentral.com/community/mesa/articles/20130513fire-station-in-mesa-earns-leed-gold.html,Gold,"The goal was LEED silver, but the outcome was LEED gold. This Mesa fire station is a great role model for other sustainability efforts in the city and is one of the first LEED certified City of Mesa buildings."
POINT (-12435014.0 3950546.8),POINT (-12435014.0 3950546.8),Mesa,Infrastructure,Green Building,Fire Station 220  5763 E Main St. Mesa  AZ 85205,Fire Station No. 220,http://www.usgbc.org/projects/city-mesa-fire-station-220,Gold,One of the first LEED certified city of Mesa buildings. 7.5% of the energy used comes from the sun with a 15.18 kW photovoltaic system.
POINT (-12430756.0 3952816.8),POINT (-12430756.0 3952816.8),Mesa,Energy,Solar Power,7550 E Adobe St  Mesa  AZ  85207,Red Mountain Multigenerational Center,http://www.mesaaz.gov/residents/sustainability/solar-resources,294 kW,This building provides recreation for people of all ages and 44% of it's own energy through solar power
POINT (-12427330.0 3945870.5),POINT (-12427330.0 3945870.5),Mesa,Energy,Solar Power,2430 S. Ellsworth  Mesa  AZ 85208,Fire Station No. 212,http://www.mesaaz.gov/residents/sustainability/solar-resources,185 kW,Prospects set on 67% of building energy requirements to come from solar power
POINT (-12451447 3947268),POINT (-12451447 3947268),Mesa,Energy,Solar Power,1010 W. Grove Ave  Mesa  AZ 85210,Fiesta Police Station,https://mysolarcity.com/Share/2acce137-abdb-40f7-97a2-e6ee2ff4ccbe#/monitoring/historical/day,272 kW,This police station is seeing a projected savings of 60% building energy use
POINT (-12430988.0 3953165.5),POINT (-12430988.0 3953165.5),Mesa,Energy,Solar Power,7745 E. Brown Road  Mesa  AZ 85207,Red Mountain park,http://www.mesaaz.gov/residents/sustainability/solar-resources,70.5 kW,This Mesa solar installation concentrates the sun's power up to 650 times tradition solar cells via concentrated photo-voltaic structures and 10 dual axis trackers.
POINT (-12467463 3934020),POINT (-12467463 3934020),Phoenix,Energy,Solar Power,E Pecos Rd  Phoenix  AZ 85048,Pecos Park-and-Ride,http://www.srpnet.com/environment/solarparking.aspx,100 kW,This 562-vehicle park-and-ride location offers solar power generation along side free parking for public transportation riders
POINT (-12456337.0 3943073.8),POINT (-12456337.0 3943073.8),Tempe,Energy,Solar Power,6600 S Price Rd. Tempe  AZ 85283,South Water Treatment Plant,http://www.tempe.gov/city-hall/public-works/energy-conservation/solar-projects,924 kW,A water treatment plant that is a big part of the city's goal to provide a minimum of 20% of city operations energy from renewable sources by 2025. 15% of the plant's energy use is supported by the installation.
POINT (-12460829 3951968),POINT (-12460829 3951968),Tempe,Energy,Solar Power,140 E 5th St. Tempe  AZ 85281,Police/Courts Building,http://www.tempe.gov/city-hall/public-works/energy-conservation/solar-projects,261.8 kW,Justice will be served! The installation will offset building electrical demand by 12% thanks to this solar installation completed December 2014
POINT (-12464697.0 3952538.5),POINT (-12464697.0 3952538.5),Tempe,Energy,Solar Power,2050 W Rio Salado Pkwy Tempe  AZ 85281,EVBOM Guardhouse,http://www.tempe.gov/city-hall/public-works/energy-conservation/solar-projects,12 kW,The East Valley Bus Operations and Maintenance guardhouse provides protection and solar power!
