wkt_geom	City	Initiative	Location	Latitude	Longitude	Building	URL_1	Info	Describe
POINT(-12423308.49456541985273361 3942310.7968302178196609)	Mesa	Green Building	3361 S. Signal Butte Road  Fire Station 219	33.353433	-111.600479	Fire Station No. 219	"<a href =""http://www.mesaaz.gov/sustainability/pdf/Mesa_Fire_Station_219_LEED.pdf"">Learn more</a>"	LEED Gold	"Fire station that includes the following sustainable features: Water efficiency efforts, onsite renewable energy, recycled content materials and low emitting features.  Certified in 2013."
POINT(-12435013.51638335175812244 3950546.72190331015735865)	Mesa	Green Building	Fire Station 220  5763 E Main St. Mesa  AZ 85205	33.41521	-111.705627	Fire Station No. 220	"<a href =""http://www.mesaaz.gov/sustainability/pdf/Mesa_Fire_Station_220_LEED.pdf"">Learn more</a>"	LEED Gold	"Fire station that includes the following sustainable features:  stormwater considerations, cool roof, water efficiency efforts, energy efficiency efforts, and recycled content materials. Certified in 2013. "
POINT(-12430756.10245796293020248 3952816.67307818634435534)	Mesa	Solar Power	7550 E Adobe St  Mesa  AZ  85207	33.432229	-111.667382	Red Mountain Multigenerational Center	"<a href =""http://www.mesaaz.gov/sustainability/solarday.aspx"">Learn more/a>"	294 kW	Recreation center which generates 44% of its energy through solar power. Completed 2013. 
POINT(-12427329.57721185497939587 3945870.44294312642887235)	Mesa	Solar Power	2430 S. Ellsworth  Mesa  AZ 85208	33.380139	-111.636601	Fire Station No. 212	"<a href=""http://www.mesaaz.gov/sustainability/solarday.aspx"">Learn more</a>"	185 kW	Fire station which generates 67% of its energy through solar power. Completed 2013.
POINT(-12451446.61093374527990818 3947267.88875711243599653)	Mesa	Solar Power	1010 W. Grove Ave  Mesa  AZ 85210	33.390621	-111.853248	Fiesta Police Station	"<a href =""https://mysolarcity.com/Share/2acce137-abdb-40f7-97a2-e6ee2ff4ccbe#/monitoring/historical/day"">Learn more</a>"	272 kW	Police station which generates 60% of its energy though solar power. Completed 2013. 
POINT(-12430987.75831830315291882 3953165.4946114057675004)	Mesa	Solar Power	7745 E. Brown Road  Mesa  AZ 85207	33.434844	-111.669463	Red Mountain Park	"<a href =""http://www.mesaaz.gov/sustainability/pdf/SolFocusProjectWeb.pdf"">Learn more</a>"	70.5 kW	"Concentrated Solar Power  (CSP) solar installation expected to save $40,000+ annually. Completed 2011. "
POINT(-12467463.37058857269585133 3934019.89369420520961285)	Phoenix	Solar Power	E Pecos Rd  Phoenix  AZ 85048	33.291199	-111.997129	Pecos Park-and-Ride	"<a href =""http://www.srpnet.com/environment/solarparking.aspx"">About the Pecos Park and Ride solar initiative</a>"	100 kW	This 562-vehicle park-and-ride location includes solar panels that generate the equivalent amount of energy to power 10 homes annually. Completed 2008. 
POINT(-12456336.5422058217227459 3943073.79080509673804045)	Tempe	Solar Power	6600 S Price Rd. Tempe  AZ 85283	33.359158	-111.897175	South Water Treatment Plant	"<a href =""http://www.tempe.gov/city-hall/public-works/energy-conservation/solar-projects"">See more about this water plant's solar</a>"	924 kW	A water treatment plant which generates 15% of the plant's energy use through solar power. Completed 2014. 
POINT(-12460829.14081940986216068 3951967.95348305720835924)	Tempe	Solar Power	140 E 5th St. Tempe  AZ 85281	33.425866	-111.937533	Police/Courts Building	"<a href =""http://www.tempe.gov/city-hall/public-works/energy-conservation/solar-projects"">Learn more about the solar power at this justice building</a>"	261.8 kW	Police/court building which generates 12% if its  energy though solar power. Completed  2014.
POINT(-12464696.52464490570127964 3952538.42374305101111531)	Tempe	Solar Power	2050 W Rio Salado Pkwy Tempe  AZ 85281	33.430143	-111.972274	EVBOM Guardhouse	"<a href =""http://www.tempe.gov/city-hall/public-works/energy-conservation/solar-projects"">Learn more about the guard house solar power</a>"	12 kW	The East Valley Bus Operations and Maintenance Guard House has reduced its energy usage 53% due to solar installations and other energy efficiency efforts.  Completed 2013.
